number, v,,,,,,kaisou,,,,,, COMTYPE, center_of_mass, thP, thR, thY, leg[0],,, Leg[1],,, leg[2],,, leg[3],,, leg[4],,, leg[5],,, leg2[0],,, Leg2[1],,, leg2[2],,, leg2[3],,, leg2[4],,, leg2[5],,, global_center_of_mass,,, debug, kaisoubit,,,,,last_node_num,time
, leg0, leg1, leg2, leg3, leg4, leg5, leg0, leg1, leg2, leg3, leg4, leg5, , , , , , x, y, z, x, y, z, x, y, z, x, y, z, x, y, z, x, y, z, x, y, z, x, y, z, x, y, z, x, y, z, x, y, z, x, y, z, x, y, z,
1
13,1,1,1,1,1,1,4,2,4,4,4,2,5,0,0,0,0,129.019,20.6126,-30,189.019,-119.387,-30,169.019,-99.3874,-30,-110.981,-199.387,-30,-170.981,-99.3874,-30,-210.981,100.613,-30,129.019,20.6126,-30,126.011,-99.0456,-30,169.019,-99.3874,-30,-123.989,-199.046,-30,-170.981,-99.3874,-30,-83.9895,120.954,-30,-9.01855,179.387,30,1624,0100,0010,0100,0100,0100,0010,7,0.23,
14,0,1,1,0,1,1,4,2,4,4,4,2,5,0,0,0,0,129.019,20.6126,-20,189.019,-119.387,-30,169.019,-99.3874,-30,-110.981,-199.387,-20,-170.981,-99.3874,-30,-210.981,100.613,-30,129.019,20.6126,-30,126.011,-99.0456,-30,169.019,-99.3874,-30,-123.989,-199.046,-30,-170.981,-99.3874,-30,-83.9895,120.954,-30,-9.01855,179.387,30,26,0100,0010,0100,0100,0100,0010,5,0.266,
15,0,1,1,0,1,1,4,4,4,4,4,4,6,0,0,0,0,129.019,20.6126,-20,181.318,-147.849,-30,161.318,-127.849,-30,-110.981,-199.387,-20,-178.682,-127.849,-30,-218.682,72.1512,-30,129.019,20.6126,-30,181.318,-147.849,-30,161.318,-127.849,-30,-110.981,-199.387,-30,-178.682,-127.849,-30,-218.682,72.1512,-30,-1.31782,207.849,30,32,0100,0100,0100,0100,0100,0100,1,0.201,
16,0,1,1,0,1,1,6,4,4,2,4,4,6,0,0,0,0,129.019,20.6126,-20,181.318,-147.849,-30,161.318,-127.849,-30,-110.981,-199.387,-20,-178.682,-127.849,-30,-218.682,72.1512,-30,129.019,20.6126,-30,181.318,-147.849,-30,161.318,-127.849,-30,-110.981,-199.387,-30,-178.682,-127.849,-30,-218.682,72.1512,-30,-1.31782,207.849,30,43,0110,0100,0100,0010,0100,0100,49,0.228,
17,1,1,1,1,1,1,6,4,4,2,4,4,6,0,0,0,0,181.318,52.1512,-30,181.318,-147.849,-30,161.318,-127.849,-30,-18.6822,-207.849,-30,-178.682,-127.849,-30,-218.682,72.1512,-30,129.019,20.6126,-30,181.318,-147.849,-30,161.318,-127.849,-30,-110.981,-199.387,-30,-178.682,-127.849,-30,-218.682,72.1512,-30,-1.31782,207.849,30,724,0110,0100,0100,0010,0100,0100,5,0.215,
18,1,0,1,0,0,1,6,4,4,2,4,4,6,0,0,0,0,181.318,52.1512,-30,181.318,-147.849,-20,161.318,-127.849,-30,-18.6822,-207.849,-20,-178.682,-127.849,-20,-218.682,72.1512,-30,129.019,20.6126,-30,181.318,-147.849,-30,161.318,-127.849,-30,-110.981,-199.387,-30,-178.682,-127.849,-30,-218.682,72.1512,-30,-1.31782,207.849,30,26,0110,0100,0100,0010,0100,0100,5,0.243,
19,1,0,1,0,0,1,4,4,4,4,4,4,6,0,0,0,0,191.14,37.669,-30,181.318,-147.849,-20,171.14,-142.331,-30,-18.6822,-207.849,-20,-178.682,-127.849,-20,-208.86,57.669,-30,191.14,37.669,-30,181.318,-147.849,-30,171.14,-142.331,-30,-18.6822,-207.849,-30,-178.682,-127.849,-30,-208.86,57.669,-30,-11.1402,222.331,30,32,0100,0100,0100,0100,0100,0100,1,0.228,
20,1,0,1,0,0,1,4,6,4,6,6,4,6,0,0,0,0,191.14,37.669,-30,181.318,-147.849,-20,171.14,-142.331,-30,-18.6822,-207.849,-20,-178.682,-127.849,-20,-208.86,57.669,-30,191.14,37.669,-30,181.318,-147.849,-30,171.14,-142.331,-30,-18.6822,-207.849,-30,-178.682,-127.849,-30,-208.86,57.669,-30,-11.1402,222.331,30,43,0100,0110,0100,0110,0110,0100,343,0.283,
21,1,1,1,1,1,1,4,6,4,6,6,4,6,0,0,0,0,191.14,37.669,-30,171.14,137.669,-30,171.14,-142.331,-30,-128.86,-22.331,-30,-188.86,137.669,-30,-208.86,57.669,-30,191.14,37.669,-30,181.318,-147.849,-30,171.14,-142.331,-30,-18.6822,-207.849,-30,-178.682,-127.849,-30,-208.86,57.669,-30,-11.1402,222.331,30,2724,0100,0110,0100,0110,0110,0100,7,0.209,
22,0,1,0,1,0,1,4,6,4,6,6,4,6,0,0,0,0,191.14,37.669,-20,171.14,137.669,-30,171.14,-142.331,-20,-128.86,-22.331,-30,-188.86,137.669,-20,-208.86,57.669,-30,191.14,37.669,-30,181.318,-147.849,-30,171.14,-142.331,-30,-18.6822,-207.849,-30,-178.682,-127.849,-30,-208.86,57.669,-30,-11.1402,222.331,30,26,0100,0110,0100,0110,0110,0100,5,0.237,
